 Upwork -331345920REF Upwork.com/bi IE 452088******1737 Print,{'Advertising': 0.89045601559, 'SoftwareSubscription': 0.04120995679, 'Telephone': 0.015625004135, 'PER': 0.012739837811, 'FreightCharge': 0.010317896200000001, 'OfficeExpense': 0.008535433583, 'Clothing&Hair&Makeup': 0.006348881251, 'Unknown': 0.003896606866, 'Travel&Transportation': 0.001945527454, 'MISC': 0.001322257209116, 'BankCharges': 0.001301045903, 'Insurance': 0.00094615364253, 'VehiclesGas': 0.0008898686519999999, 'LOC': 0.00088397090209, 'ORG': 0.0008532639123, 'Meals&Entertainment': 0.0007719980643, 'Postage': 0.0005765668425, 'SmallEquipment': 0.0003813015524, 'VehicleRepairs': 7.89826635e-05, 'Catering': 4.444844443e-05}
 FACEBK L75YXTAGX2 650-5434800 CA US 452088******1737 Print,{'Advertising': 0.87233804047, 'SoftwareSubscription': 0.10200490798999999, 'Telephone': 0.00793556552, 'OfficeExpense': 0.006664020304, 'FreightCharge': 0.00262330081, 'Clothing&Hair&Makeup': 0.0019400306800000002, 'Unknown': 0.00109164728, 'Postage': 0.000965639936, 'Meals&Entertainment': 0.000912801676, 'LOC': 0.00063481923, 'VehiclesGas': 0.00043565359600000004, 'PER': 0.00036410505, 'Travel&Transportation': 0.000245538761, 'BankCharges': 0.000234199522, 'ORG': 0.000211959287, 'Insurance': 0.00015818543939999998, 'VehicleRepairs': 0.00015669467105, 'SmallEquipment': 0.000152857271, 'MISC': 8.587892039999998e-05, 'Catering': 1.93561756e-05}
 PAYPAL *VISTAPRINT 4029357733 ON CA 452088******1737 Print,{'SoftwareSubscription': 0.5392273890399999, 'Advertising': 0.42889822789, 'OfficeExpense': 0.010946293159999999, 'FreightCharge': 0.0037070891499999996, 'Telephone': 0.00338888675, 'Unknown': 0.00246371635, 'Postage': 0.0017633781760000003, 'Travel&Transportation': 0.0013397610599999998, 'Clothing&Hair&Makeup': 0.0010593882799999998, 'Meals&Entertainment': 0.0010000221229999999, 'LOC': 0.00063885544, 'PER': 0.0004231947413, 'SmallEquipment': 0.000294261499, 'VehiclesGas': 0.000181441804, 'ORG': 0.00017500850850000002, 'BankCharges': 0.0001631480436, 'Insurance': 0.00015166846650000002, 'VehicleRepairs': 0.00013928745915, 'MISC': 0.0001390066601, 'Catering': 4.5610500999999996e-05}
 SKYPILOTAPP.COM WHISTLER BC 78.75 USD @ 1.333841270**,{'Advertising': 0.46701805273999997, 'SoftwareSubscription': 0.36406322772, 'OfficeExpense': 0.07729989450000001, 'Postage': 0.0281870299, 'Clothing&Hair&Makeup': 0.0152265171, 'FreightCharge': 0.014334318099999998, 'Telephone': 0.007677767349999999, 'LOC': 0.00582459044, 'Meals&Entertainment': 0.00311070917, 'Unknown': 0.0024568599300000002, 'SmallEquipment': 0.00180070314, 'VehiclesGas': 0.00091599265, 'Travel&Transportation': 0.00090918331, 'MISC': 0.00087319223, 'BankCharges': 0.000741299372, 'ORG': 0.000601404922, 'Insurance': 0.0005961220150000001, 'VehicleRepairs': 0.0005086572969999999, 'Catering': 0.000375482243, 'PER': 0.0003208395496}
 PayPal Fees + Shopify PILGRIMS & NOMADSSEVEN,{'Advertising': 0.58675681465, 'OfficeExpense': 0.10484966824000001, 'SoftwareSubscription': 0.07140600946, 'Postage': 0.0611047284, 'FreightCharge': 0.0270934164, 'MISC': 0.01629807665, 'Clothing&Hair&Makeup': 0.0161037771, 'Telephone': 0.01147748177, 'Meals&Entertainment': 0.01072102059, 'SmallEquipment': 0.00836536267, 'BankCharges': 0.00396849732, 'Unknown': 0.0034761392000000006, 'VehiclesGas': 0.00320479087, 'Catering': 0.00267737549, 'Insurance': 0.00189821228, 'Travel&Transportation': 0.0016032694899999998, 'LOC': 0.001467371925, 'ORG': 0.0012467652275, 'VehicleRepairs': 0.0009661027029999999, 'PER': 0.0007488506303}
 PayPal Fees + Shopify THE HEART OF THE PHOTOGRAPH (SIGNED COPY),{'BankCharges': 0.6719872899999999, 'Insurance': 0.0618391435, 'Unknown': 0.0368628103, 'SmallEquipment': 0.0244519899, 'Advertising': 0.023267479199999996, 'Clothing&Hair&Makeup': 0.0126746475, 'Telephone': 0.0122827865, 'Postage': 0.0110678553, 'Meals&Entertainment': 0.0110598912, 'VehicleRepairs': 0.0074340693, 'FreightCharge': 0.005668927339999999, 'Catering': 0.00504121034, 'Travel&Transportation': 0.00500136969, 'MISC': 0.004558734896, 'OfficeExpense': 0.0037335785800000003, 'LOC': 0.0019966278963999998, 'VehiclesGas': 0.0019688978049999997, 'SoftwareSubscription': 0.0010298024460000002, 'PER': 0.0003604754553, 'ORG': 0.00033038883299999996}
 PayPal Fees + Shopify TEN MANTRAS VIDEO20 WAYS TO MAKE BETTER PHOTOGRAPHSA DEEPER FRAMEDRAWING THE EYEThe Composition Checklist,{'BankCharges': 0.723570662, 'Insurance': 0.0419937805, 'Advertising': 0.0357003371, 'Telephone': 0.03549927640000001, 'Unknown': 0.026667055999999998, 'Postage': 0.0213262775, 'SmallEquipment': 0.0203406837, 'OfficeExpense': 0.0134455192, 'Meals&Entertainment': 0.011052420555, 'MISC': 0.006940333277, 'VehicleRepairs': 0.0064290593, 'Clothing&Hair&Makeup': 0.0063901166, 'FreightCharge': 0.0054810473999999994, 'LOC': 0.005441054754, 'Travel&Transportation': 0.00413131916, 'VehiclesGas': 0.002205408461, 'Catering': 0.00207634166, 'PER': 0.0007663428198000001, 'SoftwareSubscription': 0.00052328669, 'ORG': 0.000477567725}
 PayPal Fees + Shopify The Visual VoiceDRAWING THE EYE,{'BankCharges': 0.566834614, 'Advertising': 0.090150827, 'Insurance': 0.074488144, 'Telephone': 0.0581298094, 'OfficeExpense': 0.0272773859, 'SmallEquipment': 0.021507715400000002, 'Postage': 0.0210976294, 'Unknown': 0.0203906384, 'MISC': 0.0163599922, 'FreightCharge': 0.0133070403, 'Clothing&Hair&Makeup': 0.0123151009, 'VehicleRepairs': 0.009262197279999999, 'Meals&Entertainment': 0.009254717808, 'Travel&Transportation': 0.0062354453599999995, 'VehiclesGas': 0.00408329673, 'Catering': 0.003760111, 'LOC': 0.00293288461, 'SoftwareSubscription': 0.002077268266, 'ORG': 0.0008896137599999999, 'PER': 0.0008365750124999999}
 PayPal Fees + Shopify SEE THE WORLDTHE PHOTOGRAPHIC STORYThe Visual VoiceYOUR F/ SHOULD BE 5PILGRIMS & NOMADS,{'BankCharges': 0.6826884430000001, 'Insurance': 0.0550299396, 'SmallEquipment': 0.0285396889, 'Unknown': 0.027009636200000003, 'Telephone': 0.0217250047, 'Postage': 0.019788093200000002, 'Advertising': 0.0191654116, 'Meals&Entertainment': 0.007701479233, 'OfficeExpense': 0.0070528386999999994, 'Clothing&Hair&Makeup': 0.00669151704, 'VehicleRepairs': 0.0061941331499999995, 'FreightCharge': 0.004621758199999999, 'MISC': 0.0039811014309999995, 'Travel&Transportation': 0.003822039506, 'Catering': 0.0029222123999999997, 'LOC': 0.0019772742239, 'VehiclesGas': 0.00162817835, 'SoftwareSubscription': 0.0006231797880000001, 'PER': 0.000472320663, 'ORG': 0.00035624044}
 PayPal Fees + Shopify DRAWING THE EYEThe Visual VoiceTEN MANTRAS VIDEOThe Composition Checklist20 WAYS TO MAKE BETTER PHOTOGRAPHS,{'BankCharges': 0.602061073, 'Insurance': 0.0830220644, 'Unknown': 0.07295341500000001, 'Advertising': 0.0593428529, 'Telephone': 0.0381539052, 'SmallEquipment': 0.0305805018, 'Meals&Entertainment': 0.022818723254, 'OfficeExpense': 0.0097986476, 'VehicleRepairs': 0.008963975499999999, 'FreightCharge': 0.008772481300000001, 'Postage': 0.008441370699999999, 'Travel&Transportation': 0.00789982777, 'Catering': 0.007811772339999999, 'Clothing&Hair&Makeup': 0.006517610599999999, 'VehiclesGas': 0.00428090948, 'MISC': 0.0025261731, 'SoftwareSubscription': 0.00122093971, 'PER': 0.001215768111, 'LOC': 0.0011484854210000001, 'ORG': 0.000480972062}
